Date,Open,High,Low,Close,Next_Day_Return,Target,Daily_Return,SMA_5,SMA_10,SMA_20,SMA_50,Momentum_10,RSI_14,MACD,MACD_Signal,Volatility_20
2022-01-03,17387.15,17646.65,17383.3,17625.7,0.0101868294592554,1,0.015653406553513438,17326.11,17151.945,17197.82,17505.206000000002,1011.5,57.62484157160963,-33.51689401829208,-109.96209132771483,0.010179225254487596
2022-01-04,17681.4,17827.6,17593.55,17805.25,0.006739585234692,1,0.01018682945925553,17440.510000000002,17255.385,17229.2475,17499.013,1034.4000000000015,64.25032339947768,14.434549851459451,-85.08276309187997,0.009866419124909051
2022-01-05,17820.1,17944.7,17748.85,17925.25,-0.0100054392546825,0,0.0067395852346920915,17582.840000000004,17352.364999999998,17252.0225,17495.01,969.7999999999993,65.80280637855759,61.41149818415215,-55.78391083667354,0.009281231476194893
2022-01-06,17768.5,17797.95,17655.55,17745.9,0.0037642497703694,1,-0.010005439254682558,17691.23,17419.695,17263.475,17484.56,673.3000000000029,68.48422996549553,83.20983094413532,-27.98516248051177,0.009611437478888797
2022-01-07,17797.6,17905.0,17704.55,17812.7,0.0107002307342513,1,0.0037642497703693767,17782.960000000003,17500.59,17278.545000000002,17476.595,808.9500000000007,84.17450812660408,104.66881152880524,-1.4543676786483672,0.009632151186937499
2022-01-10,17913.3,18017.45,17879.15,18003.3,0.002913354773847,1,0.010700230734251415,17858.48,17592.295000000002,17310.2975,17479.516,917.0499999999993,84.47509021231377,135.49315459053832,25.935136775188973,0.009621424954270886
2022-01-11,17997.75,18081.25,17964.4,18055.75,0.0086731373662129,1,0.002913354773847132,17908.579999999998,17674.545000000002,17346.84,17487.198,822.5,83.23566725064957,162.28324497120775,53.204758414392735,0.009568971402857075
2022-01-12,18170.4,18227.95,18128.8,18212.35,0.0024955593319917,1,0.008673137366213002,17966.0,17774.42,17396.3875,17492.852,998.75,83.62590352559388,193.91555800482456,81.3469183324791,0.009477626372083341
2022-01-13,18257.0,18272.25,18163.8,18257.8,-0.000112280778626,0,0.002495559331991748,18068.379999999997,17879.805,17446.8575,17500.229000000003,1053.8499999999985,87.51607981571793,220.11448635873967,109.10043193773123,0.009473320163628337
2022-01-14,18185.0,18286.95,18119.65,18255.75,0.0028675896635305,1,-0.00011228077862612817,18156.989999999998,17969.975,17510.385,17508.76,901.7000000000007,86.75592431956767,237.96875231854574,134.87409601389413,0.008501572169909086
